State,District,Latitude,Longitude,District code,Population,Sex_ratio,Literacy_rate,Male_Literacy_rate,Female_Literacy_rate,SC_ratio,ST_ratio,Worker_ratio,Male_Worker_ratio,Female_Worker_ratio,Main_Worker_ratio,Marginal_Worker_ratio,Non_Worker_ratio,Hindu_ratio,Muslim_ratio,Christian_ratio,Sikh_ratio,Buddhist_ratio,Jain_ratio,Other_religion_ratio,Religion_not_stated_ratio,Households_with_electricity_ratio,Households_with_LPG_ratio,Households_with_internet_ratio,Households_with_computer_ratio,Rural_household_ratio,Urban_household_ratio,Households_with_bicycle_ratio,Households_with_car_ratio,Households_with_radio_ratio,Households_with_scooter_ratio,Households_with_tv_ratio,Households_with_phone_ratio,Below_primary_ratio,Primary_ratio,Middle_ratio,Secondary_ratio,Higher_ratio,Graduate_ratio,Other_education_ratio,Illiteracy_rate,Age_0_29_ratio,Age_30_49_ratio,Age_50_ratio,Age_not_stated_ratio,Tapwater_ratio,Handpump_ratio,Wellwater_ratio,Springwater_ratio,Riverwater_ratio,Households_with_latrine_ratio,Households_with_bathing_facility_ratio,Low_income_ratio,Middle_income_ratio,High_income_ratio,Power_Parity_Less_than_Rs_45000_ratio,Power_Parity_Rs_45000_90000_ratio,Power_Parity_Rs_90000_150000_ratio,Power_Parity_Rs_45000_150000_ratio,Power_Parity_Rs_150000_240000_ratio,Power_Parity_Rs_240000_330000_ratio,Power_Parity_Rs_150000_330000_ratio,Power_Parity_Rs_330000_425000_ratio,Power_Parity_Rs_425000_545000_ratio,Power_Parity_Rs_330000_545000_ratio,Power_Parity_Above_Rs_545000_ratio
Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,247,78690,1029.0,49.0,56.0,42.0,0.0,92.0,40.0,42.0,38.0,86.0,14.0,60.0,16.0,1.0,47.0,0.0,1.0,0.0,35.0,0.0,27.0,18.0,0.0,4.0,74.0,26.0,4.0,3.0,11.0,7.0,16.0,21.0,15.0,14.0,12.0,8.0,6.0,3.0,0.0,42.0,68.0,23.0,9.0,0.0,57.0,0.0,2.0,7.0,7.0,24.0,23.0,15.0,66.0,1.0,15.0,46.0,20.0,66.0,8.0,6.0,14.0,2.0,2.0,3.0,1.0
Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,251,99214,980.0,63.0,68.0,58.0,0.0,71.0,41.0,47.0,34.0,83.0,17.0,59.0,28.0,2.0,18.0,0.0,1.0,0.0,50.0,1.0,49.0,17.0,2.0,5.0,67.0,33.0,22.0,7.0,26.0,16.0,32.0,44.0,11.0,16.0,16.0,13.0,11.0,8.0,1.0,25.0,62.0,26.0,12.0,0.0,45.0,13.0,3.0,2.0,2.0,40.0,29.0,11.0,60.0,6.0,11.0,30.0,30.0,60.0,10.0,6.0,16.0,3.0,4.0,7.0,6.0
Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459834,256,92076,1032.0,40.0,45.0,35.0,0.0,99.0,41.0,41.0,42.0,64.0,36.0,59.0,5.0,1.0,56.0,0.0,0.0,0.0,37.0,1.0,20.0,3.0,0.0,5.0,94.0,6.0,1.0,3.0,16.0,4.0,7.0,17.0,13.0,16.0,13.0,7.0,5.0,2.0,0.0,44.0,70.0,22.0,7.0,0.0,34.0,1.0,5.0,18.0,12.0,21.0,11.0,15.0,66.0,1.0,15.0,46.0,20.0,66.0,8.0,6.0,14.0,2.0,2.0,3.0,1.0
Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,259,145726,912.0,57.0,63.0,50.0,0.0,33.0,42.0,51.0,32.0,83.0,17.0,58.0,68.0,3.0,7.0,0.0,17.0,0.0,5.0,0.0,38.0,15.0,1.0,3.0,75.0,25.0,37.0,3.0,14.0,9.0,27.0,30.0,13.0,17.0,14.0,9.0,5.0,4.0,0.0,36.0,65.0,24.0,10.0,0.0,19.0,37.0,2.0,0.0,4.0,39.0,26.0,15.0,66.0,1.0,15.0,46.0,20.0,66.0,8.0,6.0,14.0,2.0,2.0,3.0,1.0
Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,258,54080,928.0,59.0,64.0,53.0,0.0,48.0,41.0,50.0,32.0,89.0,11.0,59.0,53.0,4.0,17.0,0.0,5.0,0.0,19.0,1.0,37.0,19.0,1.0,5.0,75.0,25.0,28.0,4.0,17.0,13.0,27.0,41.0,12.0,17.0,15.0,12.0,8.0,6.0,0.0,30.0,65.0,25.0,10.0,0.0,44.0,16.0,1.0,1.0,5.0,39.0,31.0,15.0,66.0,1.0,15.0,46.0,20.0,66.0,8.0,6.0,14.0,2.0,2.0,3.0,1.0
Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,255,83030,984.0,65.0,70.0,60.0,0.0,88.0,36.0,41.0,31.0,75.0,25.0,64.0,12.0,2.0,41.0,0.0,0.0,0.0,45.0,0.0,53.0,18.0,2.0,7.0,77.0,23.0,5.0,9.0,17.0,13.0,31.0,41.0,12.0,15.0,16.0,14.0,11.0,7.0,0.0,24.0,67.0,24.0,9.0,0.0,55.0,1.0,2.0,2.0,3.0,48.0,38.0,15.0,66.0,1.0,15.0,46.0,20.0,66.0,8.0,6.0,14.0,2.0,2.0,3.0,1.0
Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,248,176573,980.0,69.0,74.0,63.0,0.0,66.0,37.0,46.0,28.0,78.0,22.0,63.0,32.0,3.0,48.0,0.0,3.0,0.0,13.0,1.0,60.0,45.0,5.0,15.0,40.0,60.0,8.0,13.0,12.0,17.0,46.0,54.0,11.0,16.0,15.0,14.0,12.0,10.0,1.0,22.0,68.0,25.0,7.0,0.0,50.0,1.0,5.0,2.0,3.0,51.0,46.0,11.0,60.0,6.0,11.0,30.0,30.0,60.0,10.0,6.0,16.0,3.0,4.0,7.0,6.0
Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,245,49977,714.0,52.0,61.0,40.0,0.0,70.0,57.0,67.0,43.0,86.0,14.0,43.0,24.0,2.0,2.0,2.0,70.0,0.0,1.0,0.0,66.0,29.0,1.0,4.0,81.0,19.0,1.0,7.0,18.0,2.0,37.0,31.0,13.0,12.0,10.0,5.0,5.0,4.0,2.0,49.0,61.0,28.0,11.0,0.0,58.0,0.0,0.0,6.0,1.0,53.0,27.0,15.0,66.0,1.0,15.0,46.0,20.0,66.0,8.0,6.0,14.0,2.0,2.0,3.0,1.0
Arunachal Pradesh,Tirap,26.94406229508198,95.41470327868862,254,111975,944.0,43.0,51.0,34.0,0.0,88.0,45.0,48.0,42.0,88.0,12.0,55.0,18.0,1.0,74.0,0.0,1.0,0.0,5.0,1.0,64.0,12.0,0.0,4.0,74.0,26.0,4.0,3.0,9.0,5.0,25.0,29.0,13.0,16.0,11.0,7.0,4.0,2.0,0.0,47.0,64.0,23.0,13.0,0.0,48.0,1.0,6.0,13.0,7.0,68.0,26.0,15.0,66.0,1.0,15.0,46.0,20.0,66.0,8.0,6.0,14.0,2.0,2.0,3.0,1.0
Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,252,35320,889.0,52.0,57.0,45.0,0.0,81.0,50.0,53.0,46.0,82.0,18.0,50.0,15.0,1.0,16.0,0.0,7.0,0.0,59.0,1.0,58.0,14.0,1.0,4.0,80.0,20.0,1.0,4.0,13.0,10.0,26.0,32.0,12.0,17.0,15.0,9.0,7.0,4.0,0.0,35.0,60.0,25.0,15.0,0.0,63.0,0.0,0.0,2.0,0.0,41.0,25.0,15.0,66.0,1.0,15.0,46.0,20.0,66.0,8.0,6.0,14.0,2.0,2.0,3.0,1.0
